Code,Price,24hr Price Change,24hr % Change,24hr Low,24hr High,24hr Trading Volume,24hr Trading Volume % Change,Market Dominance,Market Rank,Market Cap,Fully Diluted Market Cap,Yesterday Low,Yesterday High,Yesterday Open,Yesterday Close,Yesterday Volume,7 Day Low,7 Day High,30 Day Low,30 Day High,90 Day Low,90 Day High,52 Week Low,52 Week High,All Time High,All Time High %,All Time Low,All Time Low %,Return on Investment,Cirulating Supply,Total Supply,Max Supply,About,Link
BSV,$189.06,$5.70,3.11%,$181.79,$193.90,"$643,465,465.08",5.12%,,,,,$180.81,$191.30,$185.76,$185.45,"$681,388,563.18",$171.65,$201.11,$169.50,$282.14,$151.15,$324.54,$88.07,$324.54,$441.20,57.15%,$36.87,412.84%,114.11%,"18,667,745 BSV","18,667,745 BSV","21,000,000 BSV","The live Bitcoin SV price today is $189.06 USD with a 24-hour trading volume of $643,465,465 USD. Bitcoin SV is up 3.11% in the last 24 hours. The current CoinMarketCap ranking is #24, with a live market cap of $3,529,371,206 USD. It has a circulating supply of 18,667,745 BSV coins and a max. supply of 21,000,000 BSV coins.The top exchanges for trading in Bitcoin SV are currently Huobi Global, OKEx, HBTC, BiKi, and Hydax Exchange. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/bitcoin-sv/
TRX,$0.04913,$0.002489,5.34%,$0.04558,$0.04963,"$1,337,726,292.57",1.72%,,,,,$0.04558,$0.04884,$0.04781,$0.04685,"$1,404,555,443.49",$0.04261,$0.04991,$0.03235,$0.06385,$0.02413,$0.06385,$0.007516,$0.06385,$0.3004,83.64%,$0.001091,4401.81%,2294.96%,"71,659,657,369 TRX","100,850,743,812 TRX",No Data,"The live TRON price today is $0.049126 USD with a 24-hour trading volume of $1,337,726,293 USD. TRON is up 5.34% in the last 24 hours. The current CoinMarketCap ranking is #25, with a live market cap of $3,520,385,990 USD. It has a circulating supply of 71,659,657,369 TRX coins and the max. supply is not available.The top exchanges for trading in TRON are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/tron/
MIOTA,$1.22,$0.05105,4.36%,$1.13,$1.26,"$111,968,929.81",8.93%,,,,,$1.13,$1.23,$1.21,$1.18,"$111,558,889.51",$1.02,$1.26,$0.4090,$1.58,$0.2536,$1.58,$0.07962,$1.58,$5.69,78.50%,$0.07962,1436.19%,207207.36%,"2,779,530,283 MIOTA","2,779,530,283 MIOTA","2,779,530,283 MIOTA","The live IOTA price today is $1.22 USD with a 24-hour trading volume of $111,968,930 USD. IOTA is up 4.36% in the last 24 hours. The current CoinMarketCap ranking is #26, with a live market cap of $3,399,680,839 USD. It has a circulating supply of 2,779,530,283 MIOTA coins and a max. supply of 2,779,530,283 MIOTA coins.The top exchanges for trading in IOTA are currently Binance, Huobi Global, OKEx, Upbit, and HitBTC. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/iota/
VET,$0.04945,$0.005633,12.86%,$0.04164,$0.05022,"$501,797,711.20",15.57%,,,,,$0.04164,$0.04652,$0.04566,$0.04381,"$433,571,004.67",$0.03656,$0.05022,$0.02697,$0.06044,$0.01204,$0.06044,$0.001678,$0.06044,$0.06044,18.19%,$0.001678,2847.56%,228.78%,"64,315,576,989 VET","86,712,634,466 VET","86,712,634,466 VET","The live VeChain price today is $0.049450 USD with a 24-hour trading volume of $501,797,711 USD. VeChain is up 12.86% in the last 24 hours. The current CoinMarketCap ranking is #27, with a live market cap of $3,180,407,151 USD. It has a circulating supply of 64,315,576,989 VET coins and a max. supply of 86,712,634,466 VET coins.The top exchanges for trading in VeChain are currently Binance, Huobi Global, Hotcoin Global, FTX, and Upbit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/vechain/
FTT,$32.04,$2.13,7.12%,$28.93,$33.05,"$87,995,950.88",13.19%,,,,,$28.93,$31.17,$29.93,$29.64,"$99,250,821.47",$24.70,$33.05,$11.87,$34.81,$4.05,$34.81,$1.95,$34.81,$34.81,7.98%,$0.8313,3753.81%,3101.02%,"94,346,958 FTT","345,219,294 FTT",No Data,"The live FTX Token price today is $32.04 USD with a 24-hour trading volume of $87,995,951 USD. FTX Token is up 7.12% in the last 24 hours. The current CoinMarketCap ranking is #28, with a live market cap of $3,022,532,542 USD. It has a circulating supply of 94,346,958 FTT coins and the max. supply is not available.The top exchanges for trading in FTX Token are currently Binance, Huobi Global, FTX, HitBTC, and UPEX. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/ftx-token/
XTZ,$3.90,$0.2704,7.44%,$3.51,$4.00,"$542,783,520.50",27.52%,,,,,$3.51,$3.80,$3.63,$3.68,"$462,184,154.34",$3.18,$4.00,$2.83,$5.58,$1.64,$5.58,$1.02,$5.58,$5.58,29.98%,$0.3146,1141.02%,730.78%,"761,822,094 XTZ","761,822,094 XTZ",No Data,"The live Tezos price today is $3.90 USD with a 24-hour trading volume of $542,783,521 USD. Tezos is up 7.44% in the last 24 hours. The current CoinMarketCap ranking is #29, with a live market cap of $2,974,647,847 USD. It has a circulating supply of 761,822,094 XTZ coins and the max. supply is not available.The top exchanges for trading in Tezos are currently Binance, Huobi Global, OKEx, HBTC, and Bybit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/tezos/
LUNA,$7.25,$0.9101,14.35%,$6.30,$8.20,"$443,470,562.69",85.08%,,,,,$6.23,$6.78,$6.75,$6.46,"$186,109,178.46",$5.00,$8.20,$1.80,$8.41,$0.4464,$8.41,$0.1201,$8.41,$8.41,13.72%,$0.1199,5950.82%,325.35%,"402,852,484 LUNA","957,947,229 LUNA",No Data,"The live Terra price today is $7.25 USD with a 24-hour trading volume of $443,470,563 USD. Terra is up 14.35% in the last 24 hours. The current CoinMarketCap ranking is #30, with a live market cap of $2,921,865,329 USD. It has a circulating supply of 402,852,484 LUNA coins and the max. supply is not available.The top exchanges for trading in Terra are currently Binance, Huobi Global, OKEx, Upbit, and BiONE. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/terra/
BUSD,$1.00,$0.00010000,0.01%,$0.9997,$1.00,"$3,680,659,755.46",7.07%,,,,,$0.9997,$1.00,$1.00,$1.00,"$3,505,670,001.32",$0.9993,$1.00,$0.9980,$1.00,$0.9962,$1.00,$0.8861,$1.11,$1.11,9.63%,$0.8861,12.85%,0.56%,"2,822,573,883 BUSD","2,822,573,883 BUSD",No Data,"The live Binance USD price today is $1.00 USD with a 24-hour trading volume of $3,680,659,755 USD. Binance USD is up 0.01% in the last 24 hours. The current CoinMarketCap ranking is #33, with a live market cap of $2,822,573,883 USD. It has a circulating supply of 2,822,573,883 BUSD coins and the max. supply is not available.The top exchanges for trading in Binance USD are currently Binance, BiKi, CoinTiger, VCC Exchange, and HitBTC. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/binance-usd/
NEO,$40.25,$2.73,7.29%,$36.20,$41.26,"$895,905,571.44",18.67%,,,,,$36.20,$39.50,$38.14,$37.67,"$782,221,652.31",$32.01,$42.83,$22.62,$55.28,$12.43,$55.28,$4.23,$55.28,$196.85,79.55%,$0.07229,55577.97%,22076.12%,"70,538,831 NEO","100,000,000 NEO","100,000,000 NEO","The live Neo price today is $40.25 USD with a 24-hour trading volume of $895,905,571 USD. Neo is up 7.29% in the last 24 hours. The current CoinMarketCap ranking is #31, with a live market cap of $2,839,032,652 USD. It has a circulating supply of 70,538,831 NEO coins and a max. supply of 100,000,000 NEO coins.The top exchanges for trading in Neo are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/neo/
HT,$15.17,$0.8484,5.93%,$14.01,$15.93,"$1,273,785,932.28",11.61%,,,,,$13.91,$15.33,$14.71,$14.50,"$1,355,043,831.78",$12.68,$20.41,$6.70,$26.73,$3.84,$26.73,$1.97,$26.73,$26.73,43.27%,$0.8897,1604.70%,914.03%,"186,866,518 HT","500,000,000 HT","500,000,000 HT","The live Huobi Token price today is $15.17 USD with a 24-hour trading volume of $1,273,785,932 USD. Huobi Token is up 5.93% in the last 24 hours. The current CoinMarketCap ranking is #32, with a live market cap of $2,834,132,141 USD. It has a circulating supply of 186,866,518 HT coins and a max. supply of 500,000,000 HT coins.The top exchanges for trading in Huobi Token are currently Huobi Global, HBTC, BiKi, Hydax Exchange, and Dsdaq. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/huobi-token/
ALGO,$1.17,$0.06328,5.72%,$1.04,$1.17,"$531,660,240.30",9.16%,,,,,$1.04,$1.17,$1.09,$1.08,"$552,897,939.80",$0.9043,$1.18,$0.6276,$1.82,$0.2696,$1.82,$0.1024,$1.82,$3.28,64.33%,$0.1024,1042.73%,64.31%,"2,163,899,753 ALGO","3,700,000,000 ALGO","10,000,000,000 ALGO","The live Algorand price today is $1.17 USD with a 24-hour trading volume of $531,660,240 USD. Algorand is up 5.72% in the last 24 hours. The current CoinMarketCap ranking is #36, with a live market cap of $2,532,181,941 USD. It has a circulating supply of 2,163,899,753 ALGO coins and a max. supply of 10,000,000,000 ALGO coins.The top exchanges for trading in Algorand are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/algorand/
FIL,$43.12,$5.00,13.13%,$37.60,$44.26,"$1,290,064,236.15",56.98%,,,,,$37.29,$38.90,$38.47,$38.19,"$691,279,882.15",$33.35,$44.26,$22.37,$51.94,$20.05,$51.94,$2.23,$131.86,$131.86,67.30%,$1.83,2257.11%,275.99%,"56,599,158 FIL","56,599,158 FIL","2,000,000,000 FIL","The live Filecoin price today is $43.12 USD with a 24-hour trading volume of $1,290,064,236 USD. Filecoin is up 13.13% in the last 24 hours. The current CoinMarketCap ranking is #38, with a live market cap of $2,440,407,564 USD. It has a circulating supply of 56,599,158 FIL coins and a max. supply of 2,000,000,000 FIL coins.The top exchanges for trading in Filecoin are currently Binance, Huobi Global, OKEx, BiKi, and Hydax Exchange. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/filecoin/
GRT,$1.99,$0.1777,9.79%,$1.73,$2.05,"$420,283,738.86",6.78%,,,,,$1.73,$1.98,$1.92,$1.83,"$408,274,705.36",$1.44,$2.05,$0.7271,$2.88,$0,$2.88,$0,$2.88,,,,,,"1,245,666,867 GRT",No Data,"10,000,000,000 GRT","The live The Graph price today is $1.99 USD with a 24-hour trading volume of $420,283,739 USD. The Graph is up 9.79% in the last 24 hours. The current CoinMarketCap ranking is #37, with a live market cap of $2,480,759,866 USD. It has a circulating supply of 1,245,666,867 GRT coins and a max. supply of 10,000,000,000 GRT coins.The top exchanges for trading in The Graph are currently Binance, Huobi Global, OKEx, HBTC, and CoinTiger. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/the-graph/
EGLD,$138.85,$5.71,4.29%,$127.74,$141.09,"$138,752,930.16",5.94%,,,,,$127.74,$144.66,$138.32,$134.07,"$146,966,489.53",$104.42,$151.43,$63.13,$215.87,$11.32,$215.87,$6.80,$215.87,$215.87,35.68%,$6.80,1942.70%,708.13%,"17,057,869 EGLD","21,288,992 EGLD","31,415,926 EGLD","The live Elrond price today is $138.85 USD with a 24-hour trading volume of $138,752,930 USD. Elrond is up 4.29% in the last 24 hours. The current CoinMarketCap ranking is #39, with a live market cap of $2,368,518,572 USD. It has a circulating supply of 17,057,869 EGLD coins and a max. supply of 31,415,926 EGLD coins.The top exchanges for trading in Elrond are currently Binance, OKEx, FTX, Bitfinex, and DragonEX. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/elrond/
COMP,$508.18,$-3.51,0.69%,$479.92,$527.48,"$268,222,794.62",41.18%,,,,,$479.92,$531.98,$493.00,$499.62,"$434,910,290.16",$351.75,$531.98,$325.46,$566.69,$122.85,$566.69,$61.27,$566.69,$566.69,10.33%,$61.25,729.65%,399.74%,"4,645,359 COMP","10,000,000 COMP","10,000,000 COMP","The live Compound price today is $508.18 USD with a 24-hour trading volume of $268,222,795 USD. Compound is down 0.69% in the last 24 hours. The current CoinMarketCap ranking is #40, with a live market cap of $2,360,659,582 USD. It has a circulating supply of 4,645,359 COMP coins and a max. supply of 10,000,000 COMP coins.The top exchanges for trading in Compound are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/compound/
SUSHI,$18.21,$0.1161,0.64%,$16.92,$19.09,"$972,335,632.29",39.75%,,,,,$16.92,$20.54,$18.81,$17.92,"$1,789,945,589.17",$13.16,$20.25,$11.52,$20.54,$1.31,$20.54,$0.4737,$20.54,$20.54,11.35%,$0.4737,3743.61%,428.96%,"127,244,443 SUSHI","202,191,591 SUSHI","250,000,000 SUSHI","The live SushiSwap price today is $18.21 USD with a 24-hour trading volume of $972,335,632 USD. SushiSwap is up 0.64% in the last 24 hours. The current CoinMarketCap ranking is #41, with a live market cap of $2,316,640,941 USD. It has a circulating supply of 127,244,443 SUSHI coins and a max. supply of 250,000,000 SUSHI coins.The top exchanges for trading in SushiSwap are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/sushiswap/
MKR,"$2,298.10",$125.69,5.79%,"$2,099.76","$2,359.74","$83,252,035.39",3.55%,,,,,"$2,099.76","$2,290.44","$2,172.89","$2,173.16","$80,878,870.76","$1,798.53","$2,359.74","$1,469.83","$3,041.57",$473.66,"$3,041.57",$177.23,"$3,041.57","$3,041.57",24.44%,$21.06,10812.28%,10298.74%,"995,239 MKR","995,239 MKR","1,005,577 MKR","The live Maker price today is $2,298.10 USD with a 24-hour trading volume of $83,252,035 USD. Maker is up 5.79% in the last 24 hours. The current CoinMarketCap ranking is #42, with a live market cap of $2,287,161,151 USD. It has a circulating supply of 995,239 MKR coins and a max. supply of 1,005,577 MKR coins.The top exchanges for trading in Maker are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/maker/
DASH,$227.76,$13.25,6.18%,$210.01,$234.80,"$1,061,327,239.95",11.26%,,,,,$210.01,$228.59,$223.43,$216.19,"$1,211,726,863.11",$183.72,$248.10,$103.55,$335.15,$85.38,$335.15,$34.91,$335.15,"$1,642.22",86.13%,$0.2139,106378.19%,106373.77%,"10,006,063 DASH","10,006,063 DASH","18,900,000 DASH","The live Dash price today is $227.76 USD with a 24-hour trading volume of $1,061,327,240 USD. Dash is up 6.18% in the last 24 hours. The current CoinMarketCap ranking is #43, with a live market cap of $2,278,939,531 USD. It has a circulating supply of 10,006,063 DASH coins and a max. supply of 18,900,000 DASH coins.The top exchanges for trading in Dash are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/dash/
AVAX,$28.20,$0.1351,0.48%,$26.02,$29.23,"$339,160,400.58",32.74%,,,,,$26.02,$31.74,$27.42,$27.14,"$563,934,378.83",$22.30,$32.04,$12.81,$59.94,$2.79,$59.94,$2.79,$59.94,$59.94,52.96%,$2.79,911.03%,5539.16%,"76,937,055 AVAX","360,000,000 AVAX","720,000,000 AVAX","The live Avalanche price today is $28.20 USD with a 24-hour trading volume of $339,160,401 USD. Avalanche is up 0.48% in the last 24 hours. The current CoinMarketCap ranking is #44, with a live market cap of $2,169,301,389 USD. It has a circulating supply of 76,937,055 AVAX coins and a max. supply of 720,000,000 AVAX coins.The top exchanges for trading in Avalanche are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/avalanche/
KSM,$245.47,$20.74,9.23%,$219.95,$258.10,"$195,944,224.43",3.25%,,,,,$219.95,$245.24,$228.17,$241.05,"$199,030,895.34",$195.98,$258.10,$98.07,$296.66,$43.54,$296.66,$1.17,$296.66,$296.66,17.25%,$0.9143,26746.84%,14209.71%,"8,470,098 KSM","9,651,217 KSM",No Data,"The live Kusama price today is $245.47 USD with a 24-hour trading volume of $195,944,224 USD. Kusama is up 9.23% in the last 24 hours. The current CoinMarketCap ranking is #45, with a live market cap of $2,079,181,384 USD. It has a circulating supply of 8,470,098 KSM coins and the max. supply is not available.The top exchanges for trading in Kusama are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/kusama/
LEO,$1.94,$-0.08875,4.38%,$1.91,$2.04,"$2,069,682.65",3.01%,,,,,$1.91,$2.12,$2.10,$1.92,"$2,237,418.11",$1.86,$2.12,$1.30,$2.12,$1.30,$2.12,$0.8122,$2.12,$2.12,8.49%,$0.8036,141.07%,84.12%,"999,498,893 LEO","999,498,893 LEO",No Data,"The live UNUS SED LEO price today is $1.94 USD with a 24-hour trading volume of $2,069,683 USD. UNUS SED LEO is down 4.38% in the last 24 hours. The current CoinMarketCap ranking is #46, with a live market cap of $1,936,140,508 USD. It has a circulating supply of 999,498,893 LEO coins and the max. supply is not available.The top exchanges for trading in UNUS SED LEO are currently OKEx, FTX, Omgfin, Bitfinex, and Uniswap (V2). You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/unus-sed-leo/
DCR,$151.07,$6.26,4.32%,$141.52,$153.43,"$29,451,776.67",5.13%,,,,,$141.52,$150.36,$148.98,$144.77,"$26,001,722.43",$121.00,$153.43,$66.05,$170.64,$23.66,$170.64,$7.66,$170.64,$170.64,11.47%,$0.3948,38166.26%,15679.63%,"12,664,171 DCR","12,664,171 DCR","21,000,000 DCR","The live Decred price today is $151.07 USD with a 24-hour trading volume of $29,451,777 USD. Decred is up 4.32% in the last 24 hours. The current CoinMarketCap ranking is #47, with a live market cap of $1,913,223,838 USD. It has a circulating supply of 12,664,171 DCR coins and a max. supply of 21,000,000 DCR coins.The top exchanges for trading in Decred are currently Binance, Huobi Global, OKEx, BiKi, and BiONE. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/decred/
CAKE,$12.96,$1.26,10.76%,$11.13,$13.41,"$292,500,303.92",17.95%,,,,,$11.13,$13.68,$13.09,$12.04,"$319,238,775.28",$8.40,$14.71,$1.97,$21.41,$0.3914,$21.41,$0.1980,$21.41,$21.41,39.46%,$0.1980,6445.52%,1119.51%,"124,744,479 CAKE","204,738,186 CAKE",No Data,"The live PancakeSwap price today is $12.96 USD with a 24-hour trading volume of $292,500,304 USD. PancakeSwap is up 10.76% in the last 24 hours. The current CoinMarketCap ranking is #48, with a live market cap of $1,616,731,018 USD. It has a circulating supply of 124,744,479 CAKE coins and the max. supply is not available.The top exchanges for trading in PancakeSwap are currently Binance, VCC Exchange, BKEX, KuCoin, and MXC.COM. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/pancakeswap/
VGX,$6.54,$-0.0009387,0.01%,$6.39,$6.86,"$11,582,315.86",10.11%,,,,,$6.39,$6.98,$6.96,$6.59,"$9,539,709.13",$5.21,$7.24,$2.16,$7.26,$0.1260,$7.26,$0.01898,$7.26,$10.00,34.57%,$0.01699,38401.65%,9429.51%,"222,295,208 VGX","222,295,208 VGX","222,295,209 VGX","The live Voyager Token price today is $6.54 USD with a 24-hour trading volume of $11,582,316 USD. Voyager Token is down 0.01% in the last 24 hours. The current CoinMarketCap ranking is #49, with a live market cap of $1,454,268,267 USD. It has a circulating supply of 222,295,208 VGX coins and a max. supply of 222,295,209 VGX coins.The top exchanges for trading in Voyager Token are currently Binance, HitBTC, Uniswap (V2), and ATOMARS. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/voyager-token/
ZEC,No Data,,,,,"$494,766,099.33",1.08%,,,,,,,,,,,,,,,,,,,,,,,No Data,No Data,No Data,"The live Zcash price today is not available with a 24-hour trading volume of $494,766,099 USD. Zcash has no change in the last 24 hours. The current CoinMarketCap ranking is not available, with a live market cap of not available. The circulating supply is not available and the max. supply is not available.The top exchanges for trading in Zcash are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/zcash/
RUNE,$5.90,$0.6606,12.61%,$4.97,$6.09,"$88,171,269.55",21.82%,,,,,$4.93,$5.65,$5.18,$5.18,"$77,175,567.69",$3.91,$6.09,$3.05,$6.09,$0.7715,$6.09,$0.3515,$6.09,$6.09,3.13%,$0.007939,74198.97%,18332.77%,"238,275,761 RUNE","500,000,000 RUNE",No Data,"The live THORChain price today is $5.90 USD with a 24-hour trading volume of $88,171,270 USD. THORChain is up 12.61% in the last 24 hours. The current CoinMarketCap ranking is #52, with a live market cap of $1,405,428,495 USD. It has a circulating supply of 238,275,761 RUNE coins and the max. supply is not available.The top exchanges for trading in THORChain are currently Binance, FTX, VCC Exchange, HitBTC, and Hoo. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/thorchain/
FTM,$0.5539,$0.03606,6.96%,$0.4870,$0.6030,"$315,683,084.52",20.75%,,,,,$0.4870,$0.5859,$0.5826,$0.5197,"$352,977,595.80",$0.3826,$0.8717,$0.09710,$0.8717,$0.01495,$0.8717,$0.001953,$0.8717,$0.8717,36.46%,$0.001935,28520.47%,3737.8%,"2,545,006,273 FTM","2,545,006,273 FTM","3,175,000,000 FTM","The live Fantom price today is $0.553926 USD with a 24-hour trading volume of $315,683,085 USD. Fantom is up 6.96% in the last 24 hours. The current CoinMarketCap ranking is #51, with a live market cap of $1,409,746,001 USD. It has a circulating supply of 2,545,006,273 FTM coins and a max. supply of 3,175,000,000 FTM coins.The top exchanges for trading in Fantom are currently Binance, OKEx, FTX, VCC Exchange, and HitBTC. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/fantom/
ZIL,$0.1285,$0.01511,13.33%,$0.1101,$0.1298,"$168,016,136.84",30.36%,,,,,$0.1101,$0.1197,$0.1157,$0.1144,"$131,936,367.86",$0.09908,$0.1298,$0.07234,$0.1593,$0.02868,$0.1593,$0.002477,$0.1593,$0.2315,44.50%,$0.002477,5086.20%,3271.92%,"11,010,697,046 ZIL","14,302,164,199 ZIL","21,000,000,000 ZIL","The live Zilliqa price today is $0.128473 USD with a 24-hour trading volume of $168,016,137 USD. Zilliqa is up 13.33% in the last 24 hours. The current CoinMarketCap ranking is #50, with a live market cap of $1,414,577,019 USD. It has a circulating supply of 11,010,697,046 ZIL coins and a max. supply of 21,000,000,000 ZIL coins.The top exchanges for trading in Zilliqa are currently Binance, Huobi Global, OKEx, VCC Exchange, and Upbit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/zilliqa/
RVN,$0.1625,$0.001747,1.09%,$0.1510,$0.1681,"$212,442,785.59",17.75%,,,,,$0.1510,$0.1788,$0.1702,$0.1603,"$241,323,643.71",$0.1184,$0.1900,$0.02349,$0.2854,$0.01209,$0.2854,$0.008794,$0.2854,$0.2854,43.07%,$0.008794,1747.69%,512.77%,"8,254,330,000 RVN","8,254,330,000 RVN","21,000,000,000 RVN","The live Ravencoin price today is $0.162487 USD with a 24-hour trading volume of $212,442,786 USD. Ravencoin is up 1.09% in the last 24 hours. The current CoinMarketCap ranking is #54, with a live market cap of $1,341,221,864 USD. It has a circulating supply of 8,254,330,000 RVN coins and a max. supply of 21,000,000,000 RVN coins.The top exchanges for trading in Ravencoin are currently Binance, Huobi Global, OKEx, ZG.com, and Upbit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/ravencoin/
ETC,$11.43,$0.5654,5.20%,$10.60,$11.73,"$1,069,412,445.80",13.01%,,,,,$10.60,$11.47,$10.99,$10.90,"$987,035,689.27",$9.80,$12.14,$7.47,$17.75,$4.84,$17.75,$3.30,$17.75,$47.77,76.07%,$0.4524,2426.72%,1417.33%,"116,313,299 ETC","116,313,299 ETC","210,700,000 ETC","The live Ethereum Classic price today is $11.43 USD with a 24-hour trading volume of $1,069,412,446 USD. Ethereum Classic is up 5.20% in the last 24 hours. The current CoinMarketCap ranking is #55, with a live market cap of $1,329,697,470 USD. It has a circulating supply of 116,313,299 ETC coins and a max. supply of 210,700,000 ETC coins.The top exchanges for trading in Ethereum Classic are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/ethereum-classic/
YFI,"$34,692.23","$1,170.70",3.49%,"$32,399.40","$35,754.94","$236,884,615.07",3.13%,,,,,"$32,399.40","$35,429.27","$34,836.52","$33,327.28","$243,872,667.64","$27,629.87","$35,754.94","$27,629.87","$51,859.15","$18,797.75","$51,859.15",$739.44,"$51,859.15","$51,859.15",33.10%,$739.44,4591.70%,3202.39%,"36,635 YFI","36,666 YFI","36,666 YFI","The live yearn.finance price today is $34,692.23 USD with a 24-hour trading volume of $236,884,615 USD. yearn.finance is up 3.49% in the last 24 hours. The current CoinMarketCap ranking is #57, with a live market cap of $1,270,947,928 USD. It has a circulating supply of 36,635 YFI coins and a max. supply of 36,666 YFI coins.The top exchanges for trading in yearn.finance are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/yearn-finance/
NEXO,$2.26,$0.1222,5.72%,$2.07,$2.30,"$7,921,002.17",2.08%,,,,,$2.07,$2.26,$2.22,$2.11,"$7,649,472.38",$1.81,$2.30,$0.9138,$2.49,$0.3588,$2.49,$0.07194,$2.49,$2.49,9.08%,$0.04333,5115.46%,2160%,"560,000,011 NEXO","1,000,000,000 NEXO","1,000,000,000 NEXO","The live Nexo price today is $2.26 USD with a 24-hour trading volume of $7,921,002 USD. Nexo is up 5.72% in the last 24 hours. The current CoinMarketCap ranking is #57, with a live market cap of $1,265,598,056 USD. It has a circulating supply of 560,000,011 NEXO coins and a max. supply of 1,000,000,000 NEXO coins.The top exchanges for trading in Nexo are currently Huobi Global, BiONE, TOKENCAN, HitBTC, and UPEX. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/nexo/
NEAR,$4.20,$0.2424,6.12%,$3.88,$4.25,"$50,231,176.23",10.09%,,,,,$3.88,$4.24,$4.20,$4.04,"$56,279,056.46",$3.45,$4.84,$2.22,$5.53,$0.8692,$5.53,$0.5260,$5.53,$5.53,24.02%,$0.5260,699.00%,249.01%,"305,047,166 NEAR","1,000,000,000 NEAR","1,000,000,000 NEAR","The live NEAR Protocol price today is $4.20 USD with a 24-hour trading volume of $50,231,176 USD. NEAR Protocol is up 6.12% in the last 24 hours. The current CoinMarketCap ranking is #56, with a live market cap of $1,281,949,619 USD. It has a circulating supply of 305,047,166 NEAR coins and a max. supply of 1,000,000,000 NEAR coins.The top exchanges for trading in NEAR Protocol are currently Binance, Huobi Global, OKEx, BitZ, and CoinTiger. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/near-protocol/
UMA,$22.37,$0.5366,2.46%,$20.40,$22.73,"$40,565,425.93",10.62%,,,,,$20.34,$22.97,$20.66,$21.27,"$46,347,363.08",$17.62,$22.97,$11.21,$43.37,$6.78,$43.37,$1.16,$43.37,$43.37,48.42%,$1.16,1824.23%,1469.62%,"56,124,772 UMA","101,700,403 UMA","101,172,570 UMA","The live UMA price today is $22.37 USD with a 24-hour trading volume of $40,565,426 USD. UMA is up 2.46% in the last 24 hours. The current CoinMarketCap ranking is #59, with a live market cap of $1,255,490,161 USD. It has a circulating supply of 56,124,772 UMA coins and a max. supply of 101,172,570 UMA coins.The top exchanges for trading in UMA are currently Binance, Huobi Global, OKEx, HBTC, and Dsdaq. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/uma/
